term,anger,disgust,fear,happiness,sadness,surprise
εκλιπον ,1.0,1.33,1.33,1.0,4.33,1.67
εκλογικευω ,1.0,2.0,2.0,2.0,1.0,1.0
εκπληκτος ,1.25,1.25,2.25,2.25,1.75,5.0
εκπληκτη ,1.25,1.25,2.25,2.25,1.75,5.0
εκπληκτο ,1.25,1.25,2.25,2.25,1.75,5.0
εκπληξη ,1.25,1.25,1.75,2.5,1.5,5.0
εκπλησσω ,1.25,1.25,1.75,2.5,1.5,5.0
εκρηγνυμαι ,4.75,2.25,1.75,1.5,1.25,3.5
εκρηξη ,4.75,2.25,1.75,1.5,1.25,3.5
εκτεθειμενος ,1.75,2.0,2.75,1.0,1.5,2.25
εκτεθειμενη ,1.75,2.0,2.75,1.0,1.5,2.25
εκτεθειμενο ,1.75,2.0,2.75,1.0,1.5,2.25
εκτελω ,2.67,2.0,2.33,1.0,1.33,1.67
εκτονωνω ,3.0,1.67,2.0,1.0,1.33,1.67
εκφραζω ,2.0,2.0,2.0,3.0,2.33,2.67
εκφραση ,2.0,2.0,2.0,3.0,2.33,2.67
εκφραστικος ,1.0,1.0,1.0,3.0,1.0,2.33
εκφραστικη ,1.0,1.0,1.0,3.0,1.0,2.33
εκφραστικο ,1.0,1.0,1.0,3.0,1.0,2.33
ελεγεια ,1.0,1.0,1.33,2.0,2.0,2.33
ελεημοσυνη ,1.5,2.25,1.5,1.0,1.75,1.5
ελεος ,3.0,3.25,1.5,1.0,1.75,2.75
ελεφαντας ,3.0,3.0,1.5,1.0,1.0,3.5
ελεω ,1.0,2.0,1.33,1.0,1.0,2.0
ελιτ ,1.0,2.0,1.0,1.0,1.0,2.33
εμβροντητος ,2.25,2.0,1.75,1.5,2.0,5.0
εμβροντητη ,2.25,2.0,1.75,1.5,2.0,5.0
εμβροντητο ,2.25,2.0,1.75,1.5,2.0,5.0
εμετικος ,3.25,4.5,1.0,1.0,1.0,1.75
εμετικη ,3.25,4.5,1.0,1.0,1.0,1.75
εμετικο ,3.25,4.5,1.0,1.0,1.0,1.75
εμετολογια ,3.25,4.5,1.0,1.0,1.0,1.75
εμετος ,3.25,4.5,1.0,1.0,1.0,1.75
εμπαθεια ,4.0,3.0,1.25,1.0,1.0,1.5
εμπαθης ,3.5,3.25,1.25,1.0,1.0,1.5
εμπαθες ,3.5,3.25,1.25,1.0,1.0,1.5
εμπιστοσυνη ,1.0,1.0,1.0,2.75,1.0,2.0
εμπλεος ,1.0,1.0,1.67,4.33,1.0,3.0
εμπλεο ,1.0,1.0,1.67,4.33,1.0,3.0
εμπνεω ,1.0,1.0,1.5,4.0,1.0,4.0
εμποτιζω ,1.33,1.0,1.33,2.33,1.0,2.67
εμφορουμαι ,1.0,1.0,1.0,3.0,1.0,2.33
εμφυσω ,1.0,1.0,1.0,3.0,1.0,3.0
εναργεια ,1.0,1.0,1.0,2.67,1.0,2.67
ενδοστρεφεια ,1.5,1.5,1.5,1.0,1.25,1.5
ενθερμος ,1.0,1.0,1.0,3.33,1.0,2.67
ενθερμη ,1.0,1.0,1.0,3.33,1.0,2.67
ενθερμο ,1.0,1.0,1.0,3.33,1.0,2.67
ενθουσιασμος ,1.0,1.0,1.0,4.75,1.0,3.0
ενθυλακωνω ,2.0,2.33,1.0,1.0,1.0,1.67
ενιοτε ,1.0,1.0,1.0,1.0,1.0,2.0
ενοχη ,1.5,2.25,1.5,1.0,1.75,1.75
ενοχλημα ,1.5,2.75,1.25,1.0,1.75,1.0
ενοχληση ,1.5,2.75,1.25,1.0,1.75,1.25
ενοχλω ,1.75,2.75,1.25,1.0,1.75,1.25
ενσπειρω ,2.0,2.0,1.0,1.0,1.0,1.5
ενσταλαζω ,2.0,2.0,1.0,2.0,1.0,1.0
ενσυναισθημα ,1.0,1.0,1.0,3.0,1.0,2.33
ενταση ,3.25,1.5,1.5,1.0,1.0,2.0
εντιμος ,1.0,1.0,1.0,3.33,1.0,3.0
εντιμη ,1.0,1.0,1.0,3.33,1.0,3.0
εντιμο ,1.0,1.0,1.0,3.33,1.0,3.0
εντονος ,2.67,2.0,2.0,1.67,1.67,2.0
εντονη ,2.67,2.0,2.0,1.67,1.67,2.0
εντονο ,2.67,2.0,2.0,1.67,1.67,2.0
εντυπωση ,1.0,1.33,1.33,2.67,1.33,4.0
εξαλειψη ,1.0,1.0,1.0,1.0,1.0,2.5
εξαλλος ,4.5,2.5,1.75,2.0,1.5,3.25
εξαλλη ,4.5,2.5,1.75,2.0,1.5,3.25
εξαλλο ,4.5,2.5,1.75,2.0,1.5,3.25
εξαργυρωνω ,1.0,2.0,1.0,1.0,1.0,2.0
εξαρση ,2.67,2.0,1.67,1.0,1.0,3.33
εξαρτηση ,1.67,2.0,1.0,1.0,1.33,1.67
εξαψη ,2.75,1.5,1.5,2.0,1.0,2.25
εξηνταβελονης ,1.5,3.25,1.0,1.0,1.0,2.0
εξουθενωνω ,1.5,2.25,1.25,1.0,1.25,2.0
εξυπνακιας ,1.75,3.0,1.0,1.0,1.0,2.0
εξυπνακιστικος ,2.25,3.0,1.0,1.0,1.0,2.0
εξυπνος ,2.33,2.33,1.0,1.33,1.0,2.67
εξυπνουλης ,2.33,2.67,1.0,1.0,1.0,2.33
εξυπνουλικα ,2.33,2.67,1.0,1.0,1.0,2.33
εξυπνουτσικος ,2.33,2.33,1.0,1.0,1.0,2.33
εξω ,4.0,4.0,2.0,1.0,1.0,2.0
εξωστρεφεια ,1.0,1.0,1.0,2.67,1.0,2.67
εξωτερικευση ,1.0,1.0,1.0,2.67,1.0,2.33
εξωτερικευω ,1.0,1.0,1.0,2.67,1.0,2.33
επαγγελματιας ,1.0,1.0,1.0,3.0,1.0,4.0
επεισοδιακος ,2.33,1.33,2.0,1.0,1.67,3.33
επεισοδιακη ,2.33,1.33,2.0,1.0,1.67,3.33
επεισοδιακο ,2.33,1.33,2.0,1.0,1.67,3.33
επηρεαζω ,1.67,1.67,1.0,1.0,1.33,2.0
επιβητορας ,3.0,3.0,1.0,1.0,1.0,2.0
επιγνωση ,1.0,1.0,1.0,3.5,1.0,3.5
επιδερμικος ,2.0,3.0,1.0,1.0,1.0,2.5
επιδερμικη ,2.0,3.0,1.0,1.0,1.0,2.5
επιδερμικο ,2.0,3.0,1.0,1.0,1.0,2.5
επιδρομεας ,2.5,1.5,3.0,1.0,1.0,3.0
επιδρω ,1.67,1.67,1.33,1.33,1.67,1.67
επιθετικοτητα ,3.0,1.5,2.5,1.0,1.25,2.25
επιθυμω ,1.0,1.0,1.0,3.0,1.0,1.5
επικοινωνω ,1.0,1.0,1.0,3.0,1.0,2.5
επιλεκτικος ,1.0,1.0,1.0,1.67,1.0,1.67
επιπολαιος ,2.0,2.67,1.33,1.0,1.0,2.33
επιπολαιη ,2.0,2.67,1.33,1.0,1.0,2.33
επιπολαιο ,2.0,2.67,1.33,1.0,1.0,2.33
επιφυλακτικος ,1.0,1.67,2.67,1.0,1.33,2.0
επιφυλακτικη ,1.0,1.67,2.67,1.0,1.33,2.0
επιφυλακτικο ,1.0,1.67,2.67,1.0,1.33,2.0
επιφωνημα ,1.0,1.0,3.0,2.67,1.67,3.33
εποχουμενος ,1.0,2.5,1.0,1.0,1.0,2.5
επωδυνος ,1.25,1.75,2.5,1.0,3.5,1.75
επωδυνη ,1.25,1.75,2.5,1.0,3.5,1.75
επωδυνο ,1.25,1.75,2.5,1.0,3.5,1.75
εραστης ,1.5,2.5,1.0,1.0,1.0,2.5
εργατοπατερας ,1.75,2.5,1.0,1.0,1.0,1.5
ερεθισμα ,1.0,1.0,1.0,1.0,1.0,1.0
ερεθισμος ,1.0,1.75,1.0,1.0,1.5,1.75
ερημος ,1.0,1.75,2.5,1.0,2.5,1.75
εριφης ,2.75,2.75,1.25,1.0,1.0,1.75
ερμος ,1.25,1.75,1.75,1.0,3.0,1.75
ερπετο ,3.0,4.0,2.5,1.0,1.0,2.5
ερωτας ,1.0,1.0,1.0,4.25,1.0,2.25
ερωτευομαι ,1.0,1.0,1.0,4.25,1.0,2.5
ερωτικος ,1.0,1.0,1.0,4.25,1.0,2.25
ερωτικη ,1.0,1.0,1.0,4.25,1.0,2.25
ερωτικο ,1.0,1.0,1.0,4.25,1.0,2.25
εσωστρεφεια ,1.0,1.0,1.67,1.0,1.67,2.0
εσωψυχος ,1.0,1.0,1.33,1.67,1.67,2.0
εσωψυχη ,1.0,1.0,1.33,1.67,1.67,2.0
εσωψυχο ,1.0,1.0,1.33,1.67,1.67,2.0
ετεροκλητος ,1.0,2.0,1.0,1.0,1.0,2.0
ετοιματζιδικος ,1.67,2.67,1.0,1.0,1.0,2.33
ευαισθησια ,1.0,1.5,1.25,1.75,2.25,1.75
ευαισθητοποιω ,1.0,1.0,1.25,2.5,1.75,2.25
ευαισθητος ,1.0,1.25,1.25,2.25,2.25,2.0
ευαισθητη ,1.0,1.25,1.25,2.25,2.25,2.0
ευαισθητο ,1.0,1.25,1.25,2.25,2.25,2.0
ευαρεσκεια ,1.0,1.0,1.0,4.25,1.0,2.25
ευαρεστουμαι ,1.0,1.0,1.0,4.25,1.0,2.25
ευγενεια ,1.0,1.0,1.0,3.33,1.0,3.0
ευγενης ,1.0,1.0,1.0,3.67,1.0,3.0
ευγενες ,1.0,1.0,1.0,3.5,1.0,2.5
ευγενικος ,1.0,1.0,1.0,3.67,1.0,3.33
ευγενικη ,1.0,1.0,1.0,3.67,1.0,3.33
ευγενικια ,1.0,1.0,1.0,3.67,1.0,3.33
ευγενικο ,1.0,1.0,1.0,3.67,1.0,3.33
ευγνωμονας ,1.0,1.0,1.0,4.0,1.0,3.0
ευγνωμονω ,1.0,1.0,1.0,4.33,1.0,3.0
ευγνωμων ,1.0,1.0,1.0,4.33,1.0,3.67
ευγνωμον ,1.0,1.0,1.0,4.33,1.0,3.67
ευδοκιμω ,1.0,1.0,1.0,2.67,1.0,2.33
ευδοκω ,1.0,1.0,1.0,2.5,1.0,1.75
ευεξια ,1.0,1.0,1.0,4.25,1.0,2.75
ευηχος ,1.0,1.0,1.0,4.0,1.0,2.5
ευηχη ,1.0,1.0,1.0,4.0,1.0,2.5
ευηχο ,1.0,1.0,1.0,4.0,1.0,2.5
ευκαιριακος ,2.0,3.0,1.0,1.0,1.5,3.0
ευκολια ,1.33,1.67,1.0,1.33,1.0,2.67
ευκολος ,1.33,1.67,1.0,1.33,1.0,2.67
ευκολη ,1.0,1.5,1.0,1.5,1.0,2.5
ευκολο ,1.0,1.5,1.0,1.5,1.0,2.5
ευλαβης ,1.0,1.0,1.0,3.0,1.0,2.25
ευλαβες ,1.0,1.0,1.0,3.0,1.0,2.25
ευλογω ,1.0,1.0,1.0,3.0,1.0,2.67
ευνουχιζω ,2.0,2.25,2.5,1.0,1.75,2.25
ευνουχισμος ,2.0,2.25,2.5,1.0,1.75,2.25
ευνουχος ,2.25,2.5,2.0,1.0,1.75,2.25
ευοσμια ,1.0,1.0,1.0,3.5,1.0,2.0
ευοσμος ,1.0,1.0,1.0,3.25,1.0,2.25
ευσεβης ,1.0,1.0,1.0,3.25,1.0,2.0
ευσεβες ,1.0,1.0,1.0,3.25,1.0,2.0
ευσημο ,1.0,1.0,1.0,4.0,1.0,3.33
ευσπλαχνιζομαι ,1.0,1.0,1.0,2.5,2.25,2.0
ευτραπελος ,1.5,2.25,1.25,1.5,1.25,2.75
ευτυχισμενος ,1.0,1.0,1.0,4.5,1.0,2.75
ευτυχισμενη ,1.0,1.0,1.0,4.5,1.0,2.75
ευτυχισμενο ,1.0,1.0,1.0,4.5,1.0,2.75
ευφορια ,1.0,1.0,1.0,4.5,1.0,2.75
ευφροσυνη ,1.0,1.0,1.0,4.25,1.0,2.25
ευφυια ,1.0,1.0,1.0,3.5,1.0,5.0
ευφωνια ,1.0,1.0,1.0,3.25,1.0,2.5
ευχαρις ,1.0,2.0,1.0,3.0,1.0,2.0
ευχαριστηση ,1.0,1.0,1.0,4.5,1.0,2.25
ευχαριστος ,1.0,1.0,1.0,4.5,1.0,2.25
ευχαριστη ,1.0,1.0,1.0,4.67,1.0,2.0
ευχαριστο ,1.0,1.0,1.0,4.67,1.0,2.0
ευωδια ,1.0,1.0,1.0,4.0,1.0,2.25
εφετζιδικος ,2.0,2.33,1.0,1.33,1.0,2.33
εφευρετικος ,1.0,1.0,1.0,2.67,1.0,3.0
εφιαλτης ,1.5,2.0,4.25,1.0,2.0,2.75
εχθρευομαι ,3.5,3.25,1.75,1.0,1.75,1.5
εχθροτητα ,3.75,3.25,1.5,1.0,1.5,1.5
ζαλαδα ,1.5,2.5,1.5,1.0,1.5,2.0
ζαλη ,1.75,2.5,1.75,1.5,1.25,2.25
ζεματω ,3.33,2.33,2.33,1.0,2.33,3.0
ζερβοκουταλα ,3.0,2.5,1.0,1.0,1.0,2.5
ζεσταινω ,1.0,1.0,1.0,2.0,1.0,1.0
ζεστος ,1.0,1.0,1.0,2.5,1.0,2.5
ζεστη ,1.0,1.0,1.0,2.5,1.0,2.5
ζεστο ,1.0,1.0,1.0,2.5,1.0,2.5
ζηλευω ,2.25,2.0,1.25,1.5,1.5,2.0
ζηλια ,2.25,2.25,1.25,1.5,1.5,2.0
ζηλω ,2.25,2.0,1.25,1.25,1.25,2.0
ζο ,3.25,3.25,1.0,1.0,1.0,2.75
ζουδι ,2.5,2.75,1.0,1.0,1.5,2.0
ζουμι ,2.0,2.33,1.0,1.67,1.0,2.0
ζουμπας ,3.0,2.33,1.0,1.0,1.0,2.33
ζουρλα ,2.33,2.67,1.0,1.67,1.0,3.0
ζωηρος ,1.0,1.33,1.0,2.67,1.0,3.0
ζωηρη ,1.0,1.33,1.0,2.67,1.0,3.0
ζωηρο ,1.0,1.33,1.0,2.67,1.0,3.0
ζωνω ,2.0,1.67,3.0,1.0,1.0,2.0
ζωο ,3.5,3.5,1.0,1.0,1.0,2.5
ζωογονος ,1.0,1.0,1.0,3.25,1.0,2.25
ζωογονα ,1.0,1.0,1.0,3.25,1.0,2.25
ζωογονο ,1.0,1.0,1.0,3.25,1.0,2.25
ζωοφιλια ,1.0,1.0,1.0,3.0,1.0,2.33
ζωοφιλος ,1.25,1.5,1.0,2.5,1.25,2.0
ζωοφιλη ,1.25,1.5,1.0,2.5,1.25,2.0
ζωοφιλο ,1.25,1.5,1.0,2.5,1.25,2.0
ηδονιζομαι ,1.0,1.5,1.0,2.25,1.0,2.5
ηδονικος ,1.0,1.5,1.0,2.25,1.0,2.5
ηδονικη ,1.0,1.5,1.0,2.25,1.0,2.5
ηδονικο ,1.0,1.5,1.0,2.25,1.0,2.5
ηθικος ,1.0,1.0,1.0,3.0,1.0,3.0
ηθικη ,1.0,1.0,1.0,3.0,1.0,3.0
ηθικο ,1.0,1.0,1.0,3.0,1.0,3.0
ηλιοχαρος ,1.0,1.0,1.0,3.25,1.0,2.5
ηλιοχαρη ,1.0,1.0,1.0,3.25,1.0,2.5
ηλιοχαρο ,1.0,1.0,1.0,3.25,1.0,2.5
ημερος ,1.0,1.0,1.0,3.0,1.0,2.33
ημερη ,1.0,1.0,1.0,3.0,1.0,2.33
ημερο ,1.0,1.0,1.0,3.0,1.0,2.33
ησυχια ,1.0,1.0,1.0,3.0,1.0,4.0
ησυχος ,1.33,1.33,1.33,2.67,1.33,2.67
ησυχη ,1.33,1.33,1.33,2.67,1.33,2.67
ησυχο ,1.33,1.33,1.33,2.67,1.33,2.67
θαλπω ,1.0,1.0,1.0,3.67,1.0,2.33
θαλπωρη ,1.0,1.0,1.0,3.25,1.0,2.25
θαμπωνω ,1.25,1.75,1.0,1.0,1.0,3.25
θαυμαζω ,1.0,1.0,1.0,3.75,1.0,3.0
θαυμασμος ,1.0,1.0,1.0,3.75,1.0,3.0
θαυμαστης ,1.0,1.0,1.0,3.0,1.0,3.0
θαυματουργω ,1.0,1.0,1.0,3.75,1.0,3.5
θεαμα ,1.0,1.0,1.0,4.0,1.0,4.0
θεατριζομαι ,1.0,2.5,1.0,1.0,1.0,3.0
θεια ,1.33,3.33,1.0,1.0,1.0,2.33
θειος ,1.25,3.0,1.0,1.0,1.0,2.0
θειτσα ,1.5,3.5,1.0,1.0,1.0,2.0
θελω ,2.0,2.0,2.0,2.5,2.0,1.0
Θεος ,2.75,2.75,3.75,3.0,2.0,4.5
θεουσα ,2.0,3.25,1.0,1.0,1.0,2.25
θεραποντας ,1.5,3.0,1.0,1.0,1.0,2.0
θεριζω ,1.67,2.33,2.67,1.0,1.33,2.33
θεριο ,2.0,1.5,2.5,1.75,1.0,2.75
θερμοαιμος ,2.25,1.75,1.5,1.75,1.5,2.0
θερμοαιμη ,2.25,1.75,1.5,1.75,1.5,2.0
θερμοαιμο ,2.25,1.75,1.5,1.75,1.5,2.0
θερμοκεφαλος ,2.5,2.25,2.0,1.75,1.5,2.25
θερμοκεφαλη ,2.5,2.25,2.0,1.75,1.5,2.25
θερμοκεφαλο ,2.5,2.25,2.0,1.75,1.5,2.25
θερμος ,1.5,1.0,1.0,3.0,1.0,2.5
θερμη ,1.5,1.0,1.0,3.0,1.0,2.5
θερμο ,1.5,1.0,1.0,3.0,1.0,2.5
θερμοτητα ,2.0,1.0,1.0,3.5,1.0,2.5
θετικος ,1.0,1.0,1.0,2.75,1.0,2.5
θετικη ,1.0,1.0,1.0,2.75,1.0,2.5
θετικο ,1.0,1.0,1.0,2.75,1.0,2.5
θεωμαι ,1.0,3.0,1.0,1.0,1.0,2.0
θεωρητικολογια ,1.67,2.67,1.0,1.0,1.0,2.0
θεωρητικολογω ,1.67,2.67,1.0,1.0,1.0,2.0
θηλυκος ,2.5,2.5,1.0,1.0,1.0,2.5
θηριακι ,1.25,1.0,1.5,2.0,1.0,2.5
θηριο ,4.0,2.0,3.0,1.75,1.0,2.5
θλιβερος ,1.5,2.25,1.25,1.0,4.75,2.0
θλιβερη ,1.5,2.25,1.25,1.0,4.75,2.0
θλιβερο ,1.5,2.25,1.25,1.0,4.75,2.0
θλιβω ,1.25,2.0,1.25,1.0,4.75,2.0
θλιμμενος ,1.25,2.0,1.25,1.0,4.75,2.0
θλιμμενη ,1.25,2.0,1.25,1.0,4.75,2.0
θλιμμενο ,1.25,2.0,1.25,1.0,4.75,2.0
θλιψη ,1.25,2.0,1.25,1.0,4.75,2.0
θολος ,1.0,2.33,1.67,1.0,2.0,2.0
θολη ,1.0,2.33,1.67,1.0,2.0,2.0
θολο ,1.0,2.33,1.67,1.0,2.0,2.0
θορυβος ,1.25,2.25,2.5,1.0,1.0,2.5
θρασιμι ,2.25,3.0,1.75,1.0,1.0,2.5
θρησκευτικος ,1.0,2.5,1.0,1.0,1.0,2.5
θρησκευτικη ,1.0,2.5,1.0,1.0,1.0,2.5
θρησκευτικο ,1.0,2.5,1.0,1.0,1.0,2.5
θριλερ ,1.0,2.0,4.5,1.0,1.5,3.75
θυμηση ,1.0,1.0,1.0,3.5,2.0,3.0
θυμικο ,2.33,1.67,2.0,1.33,3.0,2.0
θυμικος ,2.33,1.67,2.0,1.33,3.0,2.0
θυμικη ,2.33,1.67,2.0,1.33,3.0,2.0
θυμωμενος ,4.5,2.25,1.5,1.0,1.25,2.5
θυμωμενη ,4.5,2.25,1.5,1.0,1.25,2.5
θυμωμενο ,4.5,2.25,1.5,1.0,1.25,2.5
θυμωνω ,4.5,2.25,1.5,1.0,1.25,2.5
ιδεοληψια ,1.0,3.0,1.5,1.0,1.0,2.5
ιδιοτελεια ,2.0,3.33,1.0,1.0,1.0,2.33
ιδου ,1.67,1.67,1.0,1.67,1.67,4.0
ιερατειο ,1.5,2.0,1.0,1.0,1.0,3.0
ιερογλυφικος ,1.5,2.5,1.0,1.0,1.0,3.5
ικανοποιηση ,1.0,1.0,1.0,4.5,1.0,2.5
ικανος ,1.0,1.0,1.0,3.67,1.0,3.0
ιλιγγος ,1.25,2.75,2.0,1.0,1.25,1.75
ινστρουχτορας ,2.0,3.0,1.0,1.0,1.0,2.0
ιντελιγκεντσια ,2.33,3.33,1.0,1.0,1.0,2.0
ιπποποταμος ,2.0,3.75,1.25,1.0,1.0,1.5
ισοβιος ,2.0,2.5,2.5,1.0,1.0,3.5
ισοβιως ,2.0,2.5,2.5,1.0,1.0,3.5
ισορροπια ,1.0,1.0,1.0,4.0,1.0,3.0
καβαλα ,2.5,3.0,1.0,1.0,1.0,3.0
καβαλικευω ,2.5,3.0,1.0,1.0,1.0,3.0
καβαλω ,2.0,2.67,1.0,1.0,1.0,2.33
καθαρση ,1.0,1.0,1.0,3.5,1.0,2.25
καθηγητιλικι ,3.5,3.5,1.0,1.0,1.0,2.5
καθηκοντολογια ,1.5,3.0,1.0,1.0,1.0,2.0
καθησυχαζω ,1.0,1.0,1.0,3.33,1.0,2.33
καθοδηγητης ,2.0,2.5,1.0,1.0,1.0,2.0
καθωσπρεπει ,1.67,2.67,1.0,1.67,1.0,2.0
καιω ,3.67,2.0,1.67,2.33,2.33,2.67
κακαριζω ,1.0,2.5,1.0,1.75,1.0,2.5
κακοηχος ,1.0,3.33,1.33,1.0,1.33,2.0
κακοηχη ,1.0,3.33,1.33,1.0,1.33,2.0
κακοηχο ,1.0,3.33,1.33,1.0,1.33,2.0
κακοκαρδος ,2.0,2.67,1.67,1.0,1.67,2.0
κακοκαρδη ,2.0,2.67,1.67,1.0,1.67,2.0
κακοκαρδο ,2.0,2.67,1.67,1.0,1.67,2.0
κακος ,2.33,3.0,3.0,1.0,2.0,2.33
κακη ,2.33,3.0,3.0,1.0,2.0,2.33
κακια ,2.33,3.0,3.0,1.0,2.0,2.33
κακο ,2.33,3.0,3.0,1.0,2.0,2.33
κακοσμια ,1.33,3.67,1.0,1.0,1.33,2.67
κακουχια ,1.0,2.33,2.0,1.0,1.67,2.67
καλαισθητικος ,1.0,1.0,1.0,2.75,1.0,2.25
καλαισθητικη ,1.0,1.0,1.0,2.75,1.0,2.25
καλαισθητικο ,1.0,1.0,1.0,2.75,1.0,2.25
καλαμοκανης ,1.5,2.75,1.0,1.0,1.0,2.0
καλαμοποδαρος ,1.5,2.75,1.0,1.0,1.0,2.0
καλαμπαλικι ,1.67,3.0,1.0,1.0,1.0,2.67
καλημερουδια ,1.0,1.0,1.0,4.0,1.0,2.75
καληνυχτουδια ,1.0,1.0,1.0,4.0,1.0,2.75
καλησπερουδια ,1.0,1.0,1.0,4.0,1.0,2.75
καλλιτεχνικος ,1.0,1.0,1.0,3.5,1.0,3.5
καλλιτεχνικη ,1.0,1.0,1.0,3.5,1.0,3.5
καλλιτεχνικο ,1.0,1.0,1.0,3.5,1.0,3.5
καλλονη ,1.0,1.0,1.0,3.0,1.0,2.75
καλλονος ,1.0,1.0,1.0,3.0,1.0,2.75
καλλος ,1.0,1.0,1.0,3.67,1.0,3.67
καλο ,1.0,1.0,1.0,3.75,1.0,2.5
καλογερευω ,1.0,2.5,1.0,1.0,1.0,3.5
καλογερος ,1.0,2.0,1.0,1.0,1.0,2.5
καλοδιαθετος ,1.0,1.0,1.0,3.75,1.0,2.25
καλοδιαθετη ,1.0,1.0,1.0,3.75,1.0,2.25
καλοδιαθετο ,1.0,1.0,1.0,3.75,1.0,2.25
καλοκαιρακι ,1.0,1.0,1.0,3.75,1.0,2.75
καλοκαρδος ,1.0,1.0,1.0,4.33,1.0,3.0
καλοκαρδη ,1.0,1.0,1.0,4.33,1.0,3.0
καλοκαρδο ,1.0,1.0,1.0,4.33,1.0,3.0
καλομαθαινω ,1.0,2.33,1.0,1.0,1.0,2.33
καλοπερασακιας ,2.33,3.0,1.0,1.33,1.0,2.67
καλοπερνω ,1.5,2.0,1.0,2.25,1.0,2.0
καλος ,1.0,1.0,1.0,4.0,1.0,2.67
καλη ,1.0,1.0,1.0,4.0,1.0,2.67
καλυβακι ,1.0,1.5,1.5,2.0,1.0,3.5
καλυβι ,1.0,2.5,1.5,1.0,1.0,3.5
καμακι ,1.0,3.0,1.0,1.0,1.0,3.5
καμακωνω ,1.0,3.0,1.0,1.0,1.0,3.0
καμαρι ,1.0,1.25,1.0,2.75,1.0,2.75
καμαριλα ,1.75,3.25,1.0,1.0,1.0,1.75
καμαρωνω ,1.0,1.0,1.0,3.75,1.0,3.0
καμηλα ,2.5,3.25,1.0,1.0,1.0,2.0
καμπαρετζης ,3.0,3.5,1.25,1.0,1.0,2.0
καμπαρετζου ,3.0,3.5,1.0,1.0,1.0,2.0
καναγιας ,3.5,3.5,1.5,1.0,1.25,2.0
